"matrix","time","row","col","value","sd","conf.low","conf.high","dates","report_prob_new"
"beta",1970-01-14,0,0,0.357170484738305,0.00843181374945282,0.340644433465028,0.373696536011582,2021-12-27,1
"report_prob",1970-01-14,0,0,1,0,0.5,0.5,2021-12-27,1
"inc",1970-01-14,0,0,0.0273214929097536,0.0011020471294976,0.0251615202266726,0.0294814655928347,2021-12-27,1
"serop",1970-01-14,0,0,0.0117191264094418,0.00060264458164922,0.0105379647339312,0.0129002880849525,2021-12-27,1
"beta",1970-01-15,0,0,0.405803168483184,0.0103034864975894,0.385608706032714,0.425997630933654,2021-12-28,1
"report_prob",1970-01-15,0,0,1,0,0.5,0.5,2021-12-28,1
"inc",1970-01-15,0,0,0.029883014040409,0.00115969905394946,0.0276100456617629,0.0321559824190552,2021-12-28,1
"serop",1970-01-15,0,0,0.0118773226982326,0.0005860726179812,0.0107286414746644,0.0130260039218009,2021-12-28,1
"beta",1970-01-16,0,0,0.458311268847968,0.0124299616116856,0.433948991759849,0.482673545936087,2021-12-29,1
"report_prob",1970-01-16,0,0,1,0,0.5,0.5,2021-12-29,1
"inc",1970-01-16,0,0,0.0327602458680012,0.00123060278982555,0.0303483087206686,0.0351721830153338,2021-12-29,1
"serop",1970-01-16,0,0,0.0121777977691642,0.00057352035789024,0.0110537185232988,0.0133018770150296,2021-12-29,1
"beta",1970-01-17,0,0,0.513824445811154,0.0147204965146057,0.48497280280798,0.542676088814329,2021-12-30,1
"report_prob",1970-01-17,0,0,1,0,0.5,0.5,2021-12-30,1
"inc",1970-01-17,0,0,0.035968802156022,0.00131585335581522,0.033389776969688,0.0385478273423559,2021-12-30,1
"serop",1970-01-17,0,0,0.0126204753918051,0.00056512595330146,0.0115128488766054,0.0137281019070049,2021-12-30,1
"beta",1970-01-18,0,0,0.571143532742446,0.0170598250813135,0.537706890000519,0.604580175484374,2021-12-31,1
"report_prob",1970-01-18,0,0,1,0,0.5,0.5,2021-12-31,1
"inc",1970-01-18,0,0,0.0395200733057498,0.00141606324191764,0.0367446403517602,0.0422955062597394,2021-12-31,1
"serop",1970-01-18,0,0,0.0132066248150308,0.0005612012491773,0.0121066905785644,0.0143065590514972,2021-12-31,1
"beta",1970-01-19,0,0,0.628770593560604,0.0193136869010211,0.59091646282592,0.666624724295289,2022-01-01,1
"report_prob",1970-01-19,0,0,1,0,0.5,0.5,2022-01-01,1
"inc",1970-01-19,0,0,0.0434185267418916,0.00153104375933434,0.0404177361148415,0.0464193173689417,2022-01-01,1
"serop",1970-01-19,0,0,0.0139381284101486,0.00056217453025146,0.01283628657783,0.0150399702424672,2022-01-01,1
"beta",1970-01-20,0,0,0.68497878279264,0.0213390724582433,0.643154969310993,0.726802596274288,2022-01-02,1
"report_prob",1970-01-20,0,0,1,0,0.5,0.5,2022-01-02,1
"inc",1970-01-20,0,0,0.0476584936777031,0.00165945034142838,0.0444060307743708,0.0509109565810354,2022-01-02,1
"serop",1970-01-20,0,0,0.0148167737389744,0.00056851387758761,0.0137025070141915,0.0159310404637574,2022-01-02,1
"beta",1970-01-21,0,0,0.737919991653933,0.0229987091607486,0.692843350007954,0.782996633299911,2022-01-03,0.6656
"report_prob",1970-01-21,0,0,0.6656,0,0.5,0.5,2022-01-03,0.6656
"inc",1970-01-21,0,0,0.0522207121015902,0.00179844077255118,0.0486958329590615,0.0557455912441189,2022-01-03,0.6656
"serop",1970-01-21,0,0,0.0158435149309037,0.00058062152019795,0.0147055176626669,0.0169815121991406,2022-01-03,0.6656
"beta",1970-01-22,0,0,0.785761092735522,0.0241779821405527,0.738373118521186,0.833149066949858,2022-01-04,0.6656
"report_prob",1970-01-22,0,0,0.6656,0,0.5,0.5,2022-01-04,0.6656
"inc",1970-01-22,0,0,0.0570690787196028,0.00194342403088814,0.0532600376123724,0.0608781198268332,2022-01-04,0.6656
"serop",1970-01-22,0,0,0.0170176889362781,0.00059870255831513,0.0158442534845284,0.0181911243880278,2022-01-04,0.6656
"beta",1970-01-23,0,0,0.826833098664208,0.0248016002084061,0.778222855496771,0.875443341831645,2022-01-05,0.6656
"report_prob",1970-01-23,0,0,0.6656,0,0.5,0.5,2022-01-05,0.6656
"inc",1970-01-23,0,0,0.0621482140390243,0.00208799767697356,0.0580558137923528,0.0662406142856958,2022-01-05,0.6656
"serop",1970-01-23,0,0,0.018336211225103,0.00062262715531752,0.017115884424884,0.019556538025322,2022-01-05,0.6656
"beta",1970-01-24,0,0,0.859773487295548,0.0248470246194289,0.811074213918488,0.908472760672609,2022-01-06,0.6656
"report_prob",1970-01-24,0,0,0.6656,0,0.5,0.5,2022-01-06,0.6656
"inc",1970-01-24,0,0,0.0673825139629281,0.00222417246542976,0.0630232160352801,0.0717418118905761,2022-01-06,0.6656
"serop",1970-01-24,0,0,0.019792811109874,0.0006518167220824,0.0185152738100716,0.0210703484096765,2022-01-06,0.6656
"beta",1970-01-25,0,0,0.883641631862365,0.024352026519937,0.835912536932725,0.931370726792006,2022-01-07,0.6656
"report_prob",1970-01-25,0,0,0.6656,0,0.5,0.5,2022-01-07,0.6656
"inc",1970-01-25,0,0,0.0726773045135299,0.00234295637169467,0.0680851944076597,0.0772694146194001,2022-01-07,0.6656
"serop",1970-01-25,0,0,0.0213773947502134,0.0006851849488457,0.0200344569277269,0.0227203325726999,2022-01-07,0.6656
"beta",1970-01-26,0,0,0.897991083213305,0.0234145411102973,0.85209942592259,0.94388274050402,2022-01-08,0.6656
"report_prob",1970-01-26,0,0,0.6656,0,0.5,0.5,2022-01-08,0.6656
"inc",1970-01-26,0,0,0.077922500432261,0.00243531523605843,0.0731493702785848,0.0826956305859372,2022-01-08,0.6656
"serop",1970-01-26,0,0,0.0230756380296099,0.00072115341518026,0.0216622033085285,0.0244890727506913,2022-01-08,0.6656
"beta",1970-01-27,0,0,0.902889618223384,0.0221838059582573,0.859410157505175,0.946369078941594,2022-01-09,0.6656
"report_prob",1970-01-27,0,0,0.6656,0,0.5,0.5,2022-01-09,0.6656
"inc",1970-01-27,0,0,0.0829988020748067,0.00249345097487968,0.0781117279668263,0.0878858761827872,2022-01-09,0.6656
"serop",1970-01-27,0,0,0.0248689064750096,0.00075774536961731,0.0233837528411077,0.0263540601089116,2022-01-09,0.6656
"beta",1970-01-28,0,0,0.898886792192842,0.0208421567685365,0.858036915566373,0.939736668819311,2022-01-10,0.6656
"report_prob",1970-01-28,0,0,0.6656,0,0.5,0.5,2022-01-10,0.6656
"inc",1970-01-28,0,0,0.0877860030617797,0.00251225621679401,0.0828620713569266,0.0927099347666328,2022-01-10,0.6656
"serop",1970-01-28,0,0,0.0267345725959315,0.00079274722771623,0.0251808165807637,0.0282883286110993,2022-01-10,0.6656
"beta",1970-01-29,0,0,0.886937111249732,0.0195770503284636,0.848566797682415,0.925307424817048,2022-01-11,0.6656
"report_prob",1970-01-29,0,0,0.6656,0,0.5,0.5,2022-01-11,0.6656
"inc",1970-01-29,0,0,0.0921725205348982,0.00249073467176564,0.0872907702831924,0.0970542707866041,2022-01-11,0.6656
"serop",1970-01-29,0,0,0.028646754451166,0.00082391808962099,0.0270319046692978,0.0302616042330342,2022-01-11,0.6656
