"dates","serop","beta","conf.low","conf.high","inc","serop_diff","true_inf"
2022-01-10,0.0302348024463569,0.187123857763082,0.186201967724033,0.188045747802131,123,0.00117812625525978,601
2022-01-11,0.0314157692310935,0.186634091112581,0.185649513982043,0.18761866824312,126,0.00118096678473657,602
2022-01-12,0.032598906811867,0.186331510756332,0.18528790621624,0.187375115296423,129,0.00118313758077351,604
2022-01-13,0.0337836583610774,0.186216378683013,0.18511769020865,0.187315067157376,132,0.00118475154921038,604
2022-01-14,0.034969574538567,0.18628916105708,0.18513955064517,0.187438771468991,135,0.00118591617748957,605
2022-01-15,0.0361563113554899,0.186550523769546,0.185354329281757,0.187746718257334,138,0.00118673681692294,605
2022-01-16,0.0373436289628293,0.187001326270962,0.185763033338016,0.188239619203909,141,0.00118731760733943,606
2022-01-17,0.0385313908935479,0.187642613581933,0.186366836968103,0.188918390195763,144,0.00118776193071856,606
2022-01-18,0.0397195635337317,0.188475606369006,0.187167077428838,0.189784135309173,147,0.00118817264018383,606
2022-01-19,0.0409082157327517,0.18950168896795,0.188165246857284,0.190838131078617,150,0.00118865219902003,606
2022-01-20,0.0420975185359725,0.190722395232522,0.189362980150913,0.192081810314131,153,0.00118930280322078,607
2022-01-21,0.0432877439275909,0.192139392085311,0.190762039187098,0.193516744983524,156,0.00119022539161841,607
2022-01-22,0.0444792654003472,0.193754460648633,0.192364293455731,0.195144627841534,160,0.00119152147275628,608
2022-01-23,0.0456725585437427,0.19556947483807,0.194171697069993,0.196967252606147,163,0.00119329314339554,609
2022-01-24,0.0468682018155449,0.197586377309743,0.196186262042054,0.198986492577432,166,0.00119564327180211,610
2022-01-25,0.0480668776191717,0.199807152665152,0.198410027647698,0.201204277682607,170,0.00119867580362682,611
2022-01-26,0.0492693737865194,0.202233797834992,0.200845025645078,0.203622570024907,173,0.0012024961673477,613
2022-01-27,0.0504765855535976,0.204868289586112,0.203493241048205,0.206243338124018,177,0.00120721176707821,616
2022-01-28,0.0516895165865523,0.207712549124256,0.206356568074574,0.209068530173937,181,0.00121293103295474,619
2022-01-29,0.0529092828255766,0.210768403799668,0.209436760776189,0.212100046823147,185,0.00121976623902422,622
2022-01-30,0.0541371167608114,0.214037545963353,0.212735377708937,0.215339714217769,189,0.00122783393523483,626
2022-01-31,0.0553743723557005,0.217521489068883,0.216253719779787,0.218789258357979,193,0.00123725559488907,631
2022-02-01,0.0566225307766191,0.221221521168131,0.219992760120573,0.222450282215688,198,0.00124815842091867,637
2022-02-02,0.0578832070590426,0.225138656008959,0.223953064474386,0.226324247543532,202,0.00126067628242343,643
2022-02-03,0.0591581578278909,0.229273582008318,0.228134700204423,0.230412463812213,207,0.00127495076884831,650
2022-02-04,0.0604492901862781,0.233626609444757,0.232537131848155,0.234716087041359,212,0.00129113235838722,659
2022-02-05,0.061758668800364,0.238197616289122,0.237159101679529,0.239236130898716,218,0.0013093786140859,668
2022-02-06,0.063088528687623,0.242985993169993,0.24199849623913,0.243973490100856,223,0.00132985988725902,678
2022-02-07,0.0644412889449572,0.247990588049741,0.247052206678325,0.248928969421156,229,0.00135276025733419,690
2022-02-08,0.0658195678213169,0.253209651266181,0.252316005830178,0.254103296702184,236,0.00137827887635966,703
2022-02-09,0.0672261994279995,0.258640781671578,0.257784491160189,0.259497072182967,242,0.00140663160668263,718
2022-02-10,0.0686642523239188,0.264280874672919,0.26345117367029,0.265110575675548,249,0.00143805289591935,734
2022-02-11,0.0701370501876122,0.270126073042382,0.269308796179305,0.270943349905459,257,0.00147279786369335,751
2022-02-12,0.0716481947253627,0.276171721422019,0.275349881900638,0.2769935609434,265,0.0015111445377505,771
2022-02-13,0.0732015911423683,0.28241232548911,0.281567332987213,0.283257317991007,274,0.00155339641700564,793
2022-02-14,0.0748014762982584,0.288841516775561,0.287954762872072,0.28972827067905,283,0.00159988515589005,816
2022-02-15,0.0764524497579592,0.295452024143402,0.294506362580081,0.296397685706723,293,0.00165097345970087,842
2022-02-16,0.0781595079474171,0.302235652906379,0.301216409474629,0.303254896338129,303,0.00170705818945784,871
2022-02-17,0.0799280816190926,0.308469919549142,0.307222386446663,0.309717452651622,308,0.00176857367167553,902
2022-02-18,0.0817640768219079,0.315485050009746,0.314121705749858,0.316848394269634,313,0.00183599520281534,937
2022-02-19,0.0836672376940449,0.32263354234788,0.32114759681625,0.324119487879511,317,0.00190316087213695,971
2022-02-20,0.0856336482889125,0.329902586475954,0.328289607766037,0.331515565185872,320,0.00196641059486762,1003
2022-02-21,0.0876567466833188,0.337278430622896,0.335536137597359,0.339020723648432,322,0.00202309839440631,1032
2022-02-22,0.0897278175462909,0.344746422983006,0.342874519242431,0.34661832672358,323,0.00207107086297212,1057
2022-02-23,0.0918362494872037,0.35229106603989,0.350291110787588,0.354291021292192,322,0.0021084319409128,1076
2022-02-24,0.0939697031686919,0.359896083619771,0.357771389752092,0.362020777487451,328,0.00213345368148812,1089
2022-02-25,0.0961142668502702,0.367544500502584,0.365300049685707,0.36978895131946,333,0.0021445636815783,1094
2022-02-26,0.098262719158105,0.375218734180979,0.372861099814413,0.377576368547544,338,0.00214845230783482,1096
2022-02-27,0.100411498357632,0.382900698112283,0.380437968635847,0.385363427588719,343,0.00214877919952662,1097
2022-02-28,0.102559016147966,0.390571915562807,0.388013612036674,0.393130219088941,348,0.00214751779033433,1096
2022-03-01,0.104704719809772,0.398213642904324,0.395570626026474,0.400856659782174,352,0.00214570366180621,1095
2022-03-02,0.106848570354258,0.405807000995971,0.403091363697591,0.40852263829435,357,0.00214385054448635,1094
2022-03-03,0.108990751669332,0.413333113078109,0.410558055574271,0.416108170581947,362,0.00214218131507395,1093
2022-03-04,0.111131507835823,0.420773247424447,0.41795293211468,0.423593562734215,367,0.00214075616649036,1092
2022-03-05,0.113271563788955,0.428108962851028,0.425258346768169,0.430959578933886,372,0.00214005595313231,1092
2022-03-06,0.115411856047047,0.43532225507075,0.432456897653241,0.438187612488259,377,0.00214029225809169,1092
2022-03-07,0.117553382609911,0.442395701814255,0.439531545591699,0.445259858036812,382,0.00214152656286422,1093
2022-03-08,0.119697118926853,0.449312604615111,0.446465725891695,0.452159483338527,387,0.00214373631694155,1094
2022-03-09,0.121843970431154,0.456057125181105,0.453243450896507,0.458870799465704,392,0.00214685150430169,1096
2022-03-10,0.123994745295639,0.46261441434411,0.459849399891787,0.465379428796434,397,0.00215077486448463,1098
2022-03-11,0.126150138388372,0.468970731697198,0.466268992497642,0.471672470896754,403,0.00215539309273345,1100
2022-03-12,0.128311480943457,0.475113554186618,0.472488441228938,0.477738667144298,409,0.00216134255508449,1103
2022-03-13,0.130480409337594,0.481031672123754,0.478494778699123,0.483568565548385,415,0.00216892839413674,1107
2022-03-14,0.132658682787127,0.486715271312857,0.484275855504876,0.489154687120838,420,0.00217827344953317,1112
2022-03-15,0.134848083307082,0.492156000247867,0.489820307351523,0.494491693144212,426,0.00218940051995509,1117
2022-03-16,0.137050360923278,0.497347021608709,0.495117496819332,0.499576546398087,432,0.00220227761619571,1124
2022-03-17,0.139267203653601,0.502283047576601,0.500157450296778,0.504408644856424,439,0.00221684273032305,1131
2022-03-18,0.141500220961874,0.506960358781091,0.504930838786664,0.508989878775519,445,0.00223301730827372,1140
2022-03-19,0.143750939949907,0.511376806981143,0.50942909279072,0.513324521171566,451,0.00225071898803308,1149
2022-03-20,0.146020797604351,0.515531801861072,0.513644777756416,0.517418825965728,457,0.00226985765444396,1158
2022-03-21,0.148311136194027,0.519426282582814,0.517572332091043,0.521280233074585,464,0.00229033858967567,1169
2022-03-22,0.150623200354262,0.523062674972825,0.521209109809094,0.524916240136556,470,0.00231206416023505,1180
2022-03-23,0.152958135089275,0.52644483542995,0.524556392613772,0.528333278246128,477,0.00233493473501331,1192
2022-03-24,0.155316984303775,0.533452268455751,0.531491967430633,0.535412569480869,484,0.00235884921449941,1204
2022-03-25,0.157700689681848,0.536014741577402,0.533938970471521,0.538090512683283,490,0.00238370537807289,1217
2022-03-26,0.160110838084414,0.538365714113083,0.536151747315648,0.540579680910518,497,0.00241014840256673,1230
2022-03-27,0.162548518039028,0.540512850504558,0.538143620522213,0.542882080486904,504,0.00243767995461383,1244
2022-03-28,0.16501450484502,0.542464810785017,0.539928813175173,0.545000808394861,510,0.00246598680599164,1259
2022-03-29,0.167509360358627,0.544231152486884,0.54152203072469,0.546940274249078,517,0.00249485551360734,1273
2022-03-30,0.170033486902967,0.545822229181497,0.54293824189715,0.548706216465845,524,0.00252412654433937,1288
2022-03-31,0.172587156637331,0.547249087095508,0.544192569613164,0.550305604577852,531,0.00255366973436397,1303
2022-04-01,0.175170527919373,0.54852336117794,0.545300229574865,0.551746492781014,537,0.00258337128204242,1318
2022-04-02,0.177783658026489,0.549657171899383,0.546276482344949,0.553037861453816,544,0.00261313010711561,1334
2022-04-03,0.180426507945408,0.550663023954905,0.54713658368795,0.55418946422186,551,0.00264284991891928,1349
2022-04-04,0.183098946198183,0.5515537079191,0.547895728235703,0.555211687602496,558,0.00267243825277486,1364
2022-04-05,0.185800752384163,0.552342205769386,0.548568986263855,0.556115425274918,565,0.00270180618597982,1379
2022-04-06,0.188531620795809,0.553041601056191,0.54917123507624,0.556911967036143,571,0.00273086841164608,1394
