"day","date","cases","seroprevalence","daily_serop_increment","adjusted_serop_cases"
97,2022-03-21,178,0.14788325104246,0.0023922333047669,1221
98,2022-03-22,444,0.150297388519736,0.00241413747727642,1232
99,2022-03-23,396,0.152733430784799,0.00243604226506267,1243
100,2022-03-24,476,0.155191371865612,0.00245794108081304,1254
101,2022-03-25,412,0.157671199020356,0.00247982715474376,1266
102,2022-03-26,418,0.160172892553428,0.00250169353307211,1277
103,2022-03-27,292,0.16269642563003,0.00252353307660202,1288
104,2022-03-28,308,0.165241764089461,0.00254533845943117,1299
105,2022-03-29,545,0.167808866257246,0.00256710216778461,1310
106,2022-03-30,295,0.17039768275623,0.0025888164989849,1321
107,2022-03-31,382,0.173008156316794,0.00261047356056371,1332
108,2022-04-01,305,0.175640221586322,0.00263206526952736,1343
109,2022-04-02,200,0.1782938049381,0.0026535833517784,1354
110,2022-04-03,183,0.180968824279808,0.00267501934170761,1365
111,2022-04-04,217,0.183665188861768,0.00269636458196043,1376
112,2022-04-05,317,0.186382799085157,0.00271761022338946,1387
113,2022-04-06,235,0.189121546310358,0.00273874722520046,1398
114,2022-04-07,370,0.191881312665659,0.00275976635530095,1408
115,2022-04-08,151,0.194661970856521,0.00278065819086182,1419
116,2022-04-09,215,0.197463383975621,0.0028014131191002,1430
117,2022-04-10,165,0.200285405313914,0.00282202133829268,1440
118,2022-04-11,123,0.203127878172945,0.00284247285903161,1451
119,2022-04-12,273,0.205990635678674,0.0028627575057289,1461
120,2022-04-13,171,0.208873500597057,0.00288286491838324,1471
121,2022-04-14,184,0.211776285151674,0.00290278455461623,1482
122,2022-04-15,157,0.214698790843663,0.00292250569198982,1492
123,2022-04-16,96,0.217640808274277,0.00294201743061373,1502
124,2022-04-17,75,0.220602116970332,0.00296130869605543,1511
125,2022-04-18,126,0.223582485212891,0.00298036824255887,1521
126,2022-04-19,213,0.226581669869479,0.00299918465658799,1531
127,2022-04-20,109,0.229599416230178,0.00301774636069818,1540
128,2022-04-21,144,0.23263545784793,0.00303604161775251,1550
129,2022-04-22,152,0.235689516383418,0.00305405853548829,1559
130,2022-04-23,65,0.238761301454865,0.00307178507144634,1568
131,2022-04-24,68,0.241850510493137,0.00308920903827198,1577
132,2022-04-25,91,0.244956828602534,0.00310631810939771,1585
133,2022-04-26,117,0.248079928427652,0.00312309982511727,1594
134,2022-04-27,90,0.251219470026712,0.00313954159906016,1602
135,2022-04-28,88,0.254375100751789,0.00315563072507691,1611
136,2022-04-29,89,0.257546455136331,0.00317135438454186,1619
137,2022-04-30,54,0.260733154790415,0.00318669965408419,1626
138,2022-05-01,38,0.26393480830417,0.00320165351375507,1634
139,2022-05-02,66,0.267151011159806,0.0032162028556364,1642
140,2022-05-03,79,0.270381345652709,0.00323033449290266,1649
141,2022-05-04,77,0.273625380822048,0.00324403516933902,1656
142,2022-05-05,35,0.276882672391373,0.00325729156932469,1663
143,2022-05-06,49,0.280152762719658,0.00327009032828546,1669
144,2022-05-07,26,0.283435180763281,0.00328241804362267,1675
145,2022-05-08,18,0.286729442049401,0.00329426128612076,1681
146,2022-05-09,30,0.290035048661242,0.00330560661184048,1687
147,2022-05-10,30,0.293351489235739,0.00331644057449693,1693
148,2022-05-11,28,0.296678238974067,0.00332674973832803,1698
149,2022-05-12,46,0.30001475966552,0.00333652069145357,1703
150,2022-05-13,32,0.303360499725245,0.00334574005972449,1708
151,2022-05-14,26,0.306714894246308,0.00335439452106312,1712
152,2022-05-15,10,0.3100773650666,0.00336247082029212,1716
153,2022-05-16,32,0.31344732085105,0.00336995578444987,1720
154,2022-05-17,33,0.316824157189638,0.00337683633858782,1724
155,2022-05-18,30,0.320207256711682,0.00338309952204446,1727
156,2022-05-19,36,0.323595989216874,0.00338873250519162,1730
157,2022-05-20,16,0.326989711823516,0.003393722606642,1732
158,2022-05-21,31,0.330387769134428,0.00339805731091164,1734
159,2022-05-22,33,0.333789493420953,0.00340172428652502,1736
160,2022-05-23,41,0.337194204825504,0.00340471140455162,1738
161,2022-05-24,19,0.340601211583063,0.00340700675755873,1739
162,2022-05-25,45,0.344009810262031,0.00340859867896753,1740
163,2022-05-26,22,0.347419286024822,0.00340947576279188,1740
164,2022-05-27,31,0.350828912908567,0.00340962688374458,1740
165,2022-05-28,21,0.354237954126254,0.00340904121768715,1740
166,2022-05-29,33,0.357645662388657,0.003407708262403,1739
167,2022-05-30,20,0.361051280247325,0.00340561785866755,1738
168,2022-05-31,29,0.364454040458915,0.00340276021159014,1737
169,2022-06-01,19,0.367853166371114,0.00339912591219915,1735
170,2022-06-02,3,0.371247872330352,0.00339470595923774,1733
